config,archetype,policy,day,rate_med,balance_med,earned_med
bylo,hardcore,normal,2,105.0,7655,37058
bylo,hardcore,normal,3,182.5,40396,97962
bylo,hardcore,normal,4,341.5,74208,153686
bylo,hardcore,normal,5,449.0,134211,271808
bylo,hardcore,normal,6,623.0,408282,364191
bylo,hardcore,normal,7,734.0,897316,466598
bylo,hardcore,normal,8,907.2,1421316,564538
bylo,hardcore,normal,9,1032.0,2070428,658020
bylo,hardcore,normal,10,1185.0,2809378,756505
bylo,hardcore,normal,11,1301.5,3643051,853160
bylo,hardcore,normal,12,1401.0,4582069,943704
bylo,hardcore,normal,13,1573.5,5587865,1028451
bylo,hardcore,normal,14,1750.8,6724186,1167198
bylo,hardcore,normal,15,1869.8,8045549,1249301
bylo,hardcore,normal,16,2005.0,9378584,1345434
bylo,hardcore,normal,17,2152.5,10703896,1449838
bylo,hardcore,normal,18,2242.0,12140748,1522520
bylo,hardcore,normal,19,2358.5,13703593,1589145
bylo,hardcore,normal,20,2489.0,15378360,1685228
bylo,hardcore,normal,21,2551.5,17225944,1798807
bylo,hardcore,normal,22,2673.0,19199565,1867061
bylo,hardcore,normal,23,2673.0,21133539,1884465
bylo,hardcore,normal,24,2673.0,22923985,1884465
bylo,hardcore,normal,25,2855.2,24898400,1894950
bylo,hardcore,normal,26,2916.0,26885465,2055780
bylo,hardcore,normal,27,3037.5,28948252,2055780
bylo,hardcore,normal,28,3037.5,31088976,2141437
bylo,hardcore,normal,29,3037.5,33179406,2141437
bylo,hardcore,normal,30,3037.5,35302923,2141437
stalo,hardcore,normal,1,3.0,120,925
stalo,hardcore,normal,2,31.0,1372,4910
stalo,hardcore,normal,3,31.0,1740,14278
stalo,hardcore,normal,4,50.5,10274,15035
stalo,hardcore,normal,5,70.0,15305,22458
stalo,hardcore,normal,6,79.8,22702,31005
stalo,hardcore,normal,7,102.0,47530,37402
stalo,hardcore,normal,8,112.0,34315,43530
stalo,hardcore,normal,9,112.0,49394,46138
stalo,hardcore,normal,10,107.0,28515,41898
stalo,hardcore,normal,11,117.0,44909,42852
stalo,hardcore,normal,12,126.0,62980,49300
stalo,hardcore,normal,13,126.5,70518,51842
stalo,hardcore,normal,14,148.5,72475,54998
stalo,hardcore,normal,15,158.0,87559,62648
stalo,hardcore,normal,16,168.0,68092,66745
stalo,hardcore,normal,17,175.8,91332,72512
stalo,hardcore,normal,18,183.5,137304,72738
stalo,hardcore,normal,19,198.0,185461,77505
stalo,hardcore,normal,20,208.5,193812,82668
stalo,hardcore,normal,21,215.0,244512,87665
stalo,hardcore,normal,22,215.5,235940,91910
stalo,hardcore,normal,23,216.5,185916,90838
stalo,hardcore,normal,24,209.0,146884,86009
stalo,hardcore,normal,25,219.5,142565,87478
stalo,hardcore,normal,26,210.5,149691,87702
stalo,hardcore,normal,27,211.5,179851,86590
